name,gender,proportion_female,proportion_male
Ellen,female,0.98,0.020000000000000018
Sarah,female,0.98,0.020000000000000018
Fabian,male,0.010000000000000009,0.99
Itai,male,0.08999999999999997,0.91
Kathy,female,0.98,0.020000000000000018
Polly,female,0.9,0.09999999999999998
Eileen,female,0.98,0.020000000000000018
Gillian,female,0.92,0.07999999999999996
Guoji,male,0,1
Muzlifah,female,1,0
Joakim,male,0.010000000000000009,0.99
Samantha,female,0.98,0.020000000000000018
Mats,male,0.010000000000000009,0.99
Rahul,male,0.010000000000000009,0.99
Timm,male,0.010000000000000009,0.99
Barbara,female,0.98,0.020000000000000018
Ludovic,male,0.010000000000000009,0.99
Roser,female,0.98,0.020000000000000018
Hana,female,0.98,0.020000000000000018
Quincey,male,0.35,0.65
Stephen,male,0.010000000000000009,0.99
Xiaowei,male,0.45999999999999996,0.54
Bonnie,female,0.9,0.09999999999999998
Domitilla,female,0.99,0.010000000000000009
Angela,female,0.99,0.010000000000000009
Sophie,female,0.98,0.020000000000000018
Elana,female,0.95,0.050000000000000044
Kelly,female,0.87,0.13
Sri,female,0.71,0.29000000000000004
Galit,female,0.91,0.08999999999999997
Katie,female,0.98,0.020000000000000018
Christine,female,0.99,0.010000000000000009
Susanne,female,0.98,0.020000000000000018
Samara,female,0.95,0.050000000000000044
Aviv,male,0.06000000000000005,0.94
Melanie,female,0.98,0.020000000000000018
Bosiljka,female,0.94,0.06000000000000005
Magda,female,0.98,0.020000000000000018
Charles,male,0.010000000000000009,0.99
Nikolaus,male,0.020000000000000018,0.98
Massimiliano,male,0.010000000000000009,0.99
Ido,male,0.18000000000000005,0.82
Hans,male,0.030000000000000027,0.97
Matthias,male,0,1
Jeffrey,male,0.010000000000000009,0.99
Alexander,male,0.010000000000000009,0.99
Stefano,male,0.010000000000000009,0.99
Julia,female,0.97,0.030000000000000027
Bernd,male,0.010000000000000009,0.99
Evan,male,0.06000000000000005,0.94
Peter,male,0.010000000000000009,0.99
Iannis,male,0.040000000000000036,0.96
Aron,male,0.040000000000000036,0.96
Sten,male,0.020000000000000018,0.98
Ana,female,0.98,0.020000000000000018
Liqun,female,0.62,0.38
David,male,0.010000000000000009,0.99
Jörg,male,0.010000000000000009,0.99
Xiaoliang,male,0.10999999999999999,0.89
Dana,female,0.95,0.050000000000000044
Rickard,male,0.010000000000000009,0.99
Jianbin,male,0.050000000000000044,0.95
Allon,male,0.06000000000000005,0.94
Robert,male,0.010000000000000009,0.99
Long,male,0.06999999999999995,0.93
Alistair,male,0.010000000000000009,0.99
Loic,male,0.010000000000000009,0.99
Arjun,male,0.010000000000000009,0.99
Chenghang,NA,NA,NA
Jan,male,0.050000000000000044,0.95
Paul,male,0.010000000000000009,0.99
Fuchou,NA,NA,NA
Wolf,male,0.040000000000000036,0.96
William,male,0.010000000000000009,0.99
Amos,male,0.030000000000000027,0.97
Kikue,female,1,0
Richard,male,0.010000000000000009,0.99
Piero,male,0.010000000000000009,0.99
Jonathan,male,0.010000000000000009,0.99
Emma,female,0.93,0.06999999999999995
Nikolai,male,0.010000000000000009,0.99
Martin,male,0.020000000000000018,0.98
Michael,male,0.010000000000000009,0.99
Nicholas,male,0.010000000000000009,0.99
Zemin,male,0.19999999999999996,0.8
Hongkui,male,0,1
Joseph,male,0.010000000000000009,0.99
Michelle,female,0.98,0.020000000000000018
Spyros,male,0.010000000000000009,0.99
Aki,male,0.31000000000000005,0.69
Ge,male,0.31999999999999995,0.68
Kai,male,0.06999999999999995,0.93
Mario,male,0.010000000000000009,0.99
Sohrab,male,0.020000000000000018,0.98
Samuel,male,0.010000000000000009,0.99
Xin,female,0.52,0.48
Jorge,male,0.010000000000000009,0.99
Devon,male,0.18000000000000005,0.82
Michalina,female,0.98,0.020000000000000018
Sam,male,0.18999999999999995,0.81
Catherine,female,0.98,0.020000000000000018
Koichi,male,0,1
Adam,male,0.020000000000000018,0.98
Nicola,male,0.15000000000000002,0.85
Celine,female,0.99,0.010000000000000009
Andrew,male,0.010000000000000009,0.99
Ansuman,male,0.06000000000000005,0.94
Itay,male,0.010000000000000009,0.99
Nancy,female,0.98,0.020000000000000018
Ken,male,0.020000000000000018,0.98
Klaus,male,0.020000000000000018,0.98
Dario,male,0.010000000000000009,0.99
Daniel,male,0.010000000000000009,0.99
James,male,0.010000000000000009,0.99
Kornelia,female,0.98,0.020000000000000018
Maxim,male,0.030000000000000027,0.97
Liynat,NA,NA,NA
Jean-Christophe,male,0.010000000000000009,0.99
Diether,male,0,1
Stein,male,0.06999999999999995,0.93
Yvan,male,0.010000000000000009,0.99
Helen,female,0.98,0.020000000000000018
Evy,female,0.96,0.040000000000000036
Leeat,NA,NA,NA
Miao-Ping,NA,NA,NA
Jop,male,0.09999999999999998,0.9
Klass,male,0.13,0.87
Nitzan,male,0.31000000000000005,0.69
Oana,female,0.97,0.030000000000000027
